state_name,geopolitical_zone,zone_code
Abia,South East,SE
Adamawa,North East,NE
Akwa Ibom,South South,SS
Anambra,South East,SE
Bauchi,North East,NE
Bayelsa,South South,SS
Benue,North Central,NC
Borno,North East,NE
Cross River,South South,SS
Delta,South South,SS
Ebonyi,South East,SE
Edo,South South,SS
Ekiti,South West,SW
Enugu,South East,SE
Gombe,North East,NE
Imo,South East,SE
Jigawa,North West,NW
Kaduna,North Central,NC
Kano,North West,NW
Katsina,North West,NW
Kebbi,North West,NW
Kogi,North Central,NC
Kwara,North Central,NC
Lagos,South West,SW
Nasarawa,North Central,NC
Niger,North Central,NC
Ogun,South West,SW
Ondo,South West,SW
Osun,South West,SW
Oyo,South West,SW
Plateau,North Central,NC
Rivers,South South,SS
Sokoto,North West,NW
Taraba,North East,NE
Yobe,North East,NE
Zamfara,North West,NW
Federal Capital Territory,North Central,NC
